,Location,SessionId,Version,Level,matchId,groupId,clientId,Grade,Gender,Number.Older.Siblings,Number.Younger.Siblings,payoff,PlayerName,seekIsland,seekTime,hideIsland,hideTime
53,LF,d1s3,Kinder,1,7,1,6,0,Female,0,0,3,Pirate,3,2734,N/A,N/A
54,LF,d1s3,Kinder,1,7,1,8,0,Female,0,0,0,Farmer,N/A,N/A,3,7656
55,LF,d1s3,Kinder,1,7,2,4,0,Female,0,0,0,Farmer,N/A,N/A,8,7733
56,LF,d1s3,Kinder,1,7,2,7,0,Male,0,1,8,Pirate,8,4284,N/A,N/A
57,LF,d1s3,Kinder,1,7,3,2,0,Male,0,1,8,Farmer,N/A,N/A,8,5102
58,LF,d1s3,Kinder,1,7,3,5,0,Female,0,1,0,Pirate,4,20739,N/A,N/A
59,LF,d1s3,Kinder,1,7,4,1,0,Female,1,0,8,Farmer,N/A,N/A,8,9459
60,LF,d1s3,Kinder,1,7,4,9,0,Female,0,1,0,Pirate,3,6579,N/A,N/A
61,LF,d1s3,Kinder,1,8,0,0,0,Male,0,0,0,Farmer,N/A,N/A,8,13995
62,LF,d1s3,Kinder,1,8,0,3,0,Female,0,0,8,Pirate,8,9807,N/A,N/A
63,LF,d1s3,Kinder,1,8,1,6,0,Female,0,0,0,Farmer,N/A,N/A,4,25251
64,LF,d1s3,Kinder,1,8,1,8,0,Female,0,0,4,Pirate,4,19283,N/A,N/A
65,LF,d1s3,Kinder,1,8,2,4,0,Female,0,0,8,Pirate,8,10683,N/A,N/A
66,LF,d1s3,Kinder,1,8,2,7,0,Male,0,1,0,Farmer,N/A,N/A,8,5221
67,LF,d1s3,Kinder,1,8,3,2,0,Male,0,1,0,Pirate,3,4431,N/A,N/A
68,LF,d1s3,Kinder,1,8,3,5,0,Female,0,1,8,Farmer,N/A,N/A,8,19756
69,LF,d1s3,Kinder,1,8,4,1,0,Female,1,0,0,Pirate,3,8358,N/A,N/A
70,LF,d1s3,Kinder,1,8,4,9,0,Female,0,1,4,Farmer,N/A,N/A,4,8251
71,LF,d1s3,Kinder,1,9,0,0,0,Male,0,0,4,Pirate,4,14167,N/A,N/A
72,LF,d1s3,Kinder,1,9,0,3,0,Female,0,0,0,Farmer,N/A,N/A,4,5926
73,LF,d1s3,Kinder,1,9,1,6,0,Female,0,0,4,Pirate,4,8376,N/A,N/A
74,LF,d1s3,Kinder,1,9,1,8,0,Female,0,0,0,Farmer,N/A,N/A,4,25624
75,LF,d1s3,Kinder,1,9,2,4,0,Female,0,0,4,Farmer,N/A,N/A,4,10197
76,LF,d1s3,Kinder,1,9,2,7,0,Male,0,1,0,Pirate,8,6090,N/A,N/A
77,LF,d1s3,Kinder,1,9,3,2,0,Male,0,1,0,Farmer,N/A,N/A,3,2979
78,LF,d1s3,Kinder,1,9,3,5,0,Female,0,1,3,Pirate,3,13548,N/A,N/A
79,LF,d1s3,Kinder,1,9,4,1,0,Female,1,0,8,Farmer,N/A,N/A,8,17612
80,LF,d1s3,Kinder,1,9,4,9,0,Female,0,1,0,Pirate,3,6188,N/A,N/A
81,LF,d2s2,Kinder,1,2,0,1,0,Male,1,1,3,Farmer,N/A,N/A,3,11406
82,LF,d2s2,Kinder,1,2,0,7,0,Female,0,1,0,Pirate,8,36244,N/A,N/A
83,LF,d2s2,Kinder,1,2,1,0,0,Female,0,1,8,Farmer,N/A,N/A,8,24554
84,LF,d2s2,Kinder,1,2,1,8,0,Male,1,0,0,Pirate,3,12922,N/A,N/A
85,LF,d2s2,Kinder,1,2,2,2,0,Male,2,0,0,Farmer,N/A,N/A,8,31133
86,LF,d2s2,Kinder,1,2,2,3,0,Female,0,1,8,Pirate,8,36153,N/A,N/A
87,LF,d2s2,Kinder,1,2,3,5,0,Female,2,0,0,Farmer,N/A,N/A,8,58732
88,LF,d2s2,Kinder,1,2,3,6,0,Female,1,0,8,Pirate,8,23566,N/A,N/A
89,LF,d2s2,Kinder,1,2,4,4,0,Male,1,0,8,Farmer,N/A,N/A,8,58534
90,LF,d2s2,Kinder,1,2,4,9,0,Male,0,0,0,Pirate,4,11384,N/A,N/A
91,LF,d2s2,Kinder,1,3,0,1,0,Male,1,1,0,Pirate,4,13219,N/A,N/A
92,LF,d2s2,Kinder,1,3,0,7,0,Female,0,1,8,Farmer,N/A,N/A,8,15459
93,LF,d2s2,Kinder,1,3,1,0,0,Female,0,1,0,Pirate,4,10558,N/A,N/A
94,LF,d2s2,Kinder,1,3,1,8,0,Male,1,0,8,Farmer,N/A,N/A,8,13715
95,LF,d2s2,Kinder,1,3,2,2,0,Male,2,0,8,Pirate,8,25020,N/A,N/A
