participant.id_in_session,participant.code,participant.payoff,player.id_in_group,player.P1,player.P2,player.payoff,subsession.round_number,subsession.treatment_type,subsession.num_initial_points,subsession.X,subsession.Y,subsession.Z,subsession.subsession_pk,session.code,session.label
4,67h951jm,698,4,10,10,15,14,1,300,30,10,15,454,8xa6r37h,D1S1b
5,nhermg8t,477,5,30,30,10,14,1,300,30,10,15,454,8xa6r37h,D1S1b
6,6kaajdsd,738,6,10,10,15,14,1,300,30,10,15,454,8xa6r37h,D1S1b
7,eakesbfr,620,7,20,20,5,14,1,300,30,10,15,454,8xa6r37h,D1S1b
8,gcp0hgt9,397,8,35,35,0,14,1,300,30,10,15,454,8xa6r37h,D1S1b
9,1lvn7rjl,638,9,10,10,15,14,1,300,30,10,15,454,8xa6r37h,D1S1b
1,4txh2c97,651,1,30,30,8,15,1,300,30,40,8,455,8xa6r37h,D1S1b
2,ypfig1f3,596,2,40,40,6,15,1,300,30,40,8,455,8xa6r37h,D1S1b
3,qb9wv6l6,701,3,40,40,6,15,1,300,30,40,8,455,8xa6r37h,D1S1b
4,67h951jm,698,4,30,30,8,15,1,300,30,40,8,455,8xa6r37h,D1S1b
5,nhermg8t,477,5,40,40,6,15,1,300,30,40,8,455,8xa6r37h,D1S1b
6,6kaajdsd,738,6,30,30,8,15,1,300,30,40,8,455,8xa6r37h,D1S1b
7,eakesbfr,620,7,40,40,6,15,1,300,30,40,8,455,8xa6r37h,D1S1b
8,gcp0hgt9,397,8,42,42,2,15,1,300,30,40,8,455,8xa6r37h,D1S1b
9,1lvn7rjl,638,9,30,30,8,15,1,300,30,40,8,455,8xa6r37h,D1S1b
1,4txh2c97,651,1,,,0,16,,300,,,,456,8xa6r37h,D1S1b
2,ypfig1f3,596,2,,,0,16,,300,,,,456,8xa6r37h,D1S1b
3,qb9wv6l6,701,3,,,0,16,,300,,,,456,8xa6r37h,D1S1b
4,67h951jm,698,4,,,0,16,,300,,,,456,8xa6r37h,D1S1b
5,nhermg8t,477,5,,,0,16,,300,,,,456,8xa6r37h,D1S1b
6,6kaajdsd,738,6,,,0,16,,300,,,,456,8xa6r37h,D1S1b
7,eakesbfr,620,7,,,0,16,,300,,,,456,8xa6r37h,D1S1b
8,gcp0hgt9,397,8,,,0,16,,300,,,,456,8xa6r37h,D1S1b
9,1lvn7rjl,638,9,,,0,16,,300,,,,456,8xa6r37h,D1S1b
1,4txh2c97,651,1,,,0,17,,300,,,,457,8xa6r37h,D1S1b
2,ypfig1f3,596,2,,,0,17,,300,,,,457,8xa6r37h,D1S1b
3,qb9wv6l6,701,3,,,0,17,,300,,,,457,8xa6r37h,D1S1b
4,67h951jm,698,4,,,0,17,,300,,,,457,8xa6r37h,D1S1b
5,nhermg8t,477,5,,,0,17,,300,,,,457,8xa6r37h,D1S1b
6,6kaajdsd,738,6,,,0,17,,300,,,,457,8xa6r37h,D1S1b
7,eakesbfr,620,7,,,0,17,,300,,,,457,8xa6r37h,D1S1b
8,gcp0hgt9,397,8,,,0,17,,300,,,,457,8xa6r37h,D1S1b
9,1lvn7rjl,638,9,,,0,17,,300,,,,457,8xa6r37h,D1S1b
1,4txh2c97,651,1,,,0,18,,300,,,,458,8xa6r37h,D1S1b
2,ypfig1f3,596,2,,,0,18,,300,,,,458,8xa6r37h,D1S1b
3,qb9wv6l6,701,3,,,0,18,,300,,,,458,8xa6r37h,D1S1b
4,67h951jm,698,4,,,0,18,,300,,,,458,8xa6r37h,D1S1b
5,nhermg8t,477,5,,,0,18,,300,,,,458,8xa6r37h,D1S1b
6,6kaajdsd,738,6,,,0,18,,300,,,,458,8xa6r37h,D1S1b
7,eakesbfr,620,7,,,0,18,,300,,,,458,8xa6r37h,D1S1b
8,gcp0hgt9,397,8,,,0,18,,300,,,,458,8xa6r37h,D1S1b
9,1lvn7rjl,638,9,,,0,18,,300,,,,458,8xa6r37h,D1S1b
1,4txh2c97,651,1,,,0,19,,300,,,,459,8xa6r37h,D1S1b
2,ypfig1f3,596,2,,,0,19,,300,,,,459,8xa6r37h,D1S1b
3,qb9wv6l6,701,3,,,0,19,,300,,,,459,8xa6r37h,D1S1b
4,67h951jm,698,4,,,0,19,,300,,,,459,8xa6r37h,D1S1b
5,nhermg8t,477,5,,,0,19,,300,,,,459,8xa6r37h,D1S1b
6,6kaajdsd,738,6,,,0,19,,300,,,,459,8xa6r37h,D1S1b
7,eakesbfr,620,7,,,0,19,,300,,,,459,8xa6r37h,D1S1b
8,gcp0hgt9,397,8,,,0,19,,300,,,,459,8xa6r37h,D1S1b
9,1lvn7rjl,638,9,,,0,19,,300,,,,459,8xa6r37h,D1S1b
1,4txh2c97,651,1,,,0,20,,300,,,,460,8xa6r37h,D1S1b
2,ypfig1f3,596,2,,,0,20,,300,,,,460,8xa6r37h,D1S1b
3,qb9wv6l6,701,3,,,0,20,,300,,,,460,8xa6r37h,D1S1b
4,67h951jm,698,4,,,0,20,,300,,,,460,8xa6r37h,D1S1b
5,nhermg8t,477,5,,,0,20,,300,,,,460,8xa6r37h,D1S1b
6,6kaajdsd,738,6,,,0,20,,300,,,,460,8xa6r37h,D1S1b
7,eakesbfr,620,7,,,0,20,,300,,,,460,8xa6r37h,D1S1b
8,gcp0hgt9,397,8,,,0,20,,300,,,,460,8xa6r37h,D1S1b
9,1lvn7rjl,638,9,,,0,20,,300,,,,460,8xa6r37h,D1S1b
1,23ayha3q,658,1,45,45,310,1,3,300,45,20,10,461,wo8qyx0k,D1S1a
2,5ysg83br,615,2,46,46,309,1,3,300,45,20,10,461,wo8qyx0k,D1S1a
3,iqfdtfap,678,3,45,45,310,1,3,300,45,20,10,461,wo8qyx0k,D1S1a
4,y9n9eqel,665,4,45,45,310,1,3,300,45,20,10,461,wo8qyx0k,D1S1a
5,55vtt2g8,636,5,45,45,310,1,3,300,45,20,10,461,wo8qyx0k,D1S1a
6,5njrdc92,696,6,45,45,310,1,3,300,45,20,10,461,wo8qyx0k,D1S1a
7,uwbwn9no,633,7,45,45,310,1,3,300,45,20,10,461,wo8qyx0k,D1S1a
8,do4mopds,613,8,45,45,310,1,3,300,45,20,10,461,wo8qyx0k,D1S1a
9,akw7mjn7,556,9,45,45,310,1,3,300,45,20,10,461,wo8qyx0k,D1S1a
1,23ayha3q,658,1,15,15,20,2,3,300,15,30,20,462,wo8qyx0k,D1S1a
2,5ysg83br,615,2,15,15,20,2,3,300,15,30,20,462,wo8qyx0k,D1S1a
3,iqfdtfap,678,3,15,15,20,2,3,300,15,30,20,462,wo8qyx0k,D1S1a
4,y9n9eqel,665,4,15,15,20,2,3,300,15,30,20,462,wo8qyx0k,D1S1a
5,55vtt2g8,636,5,15,15,20,2,3,300,15,30,20,462,wo8qyx0k,D1S1a
6,5njrdc92,696,6,15,15,20,2,3,300,15,30,20,462,wo8qyx0k,D1S1a
7,uwbwn9no,633,7,25,25,10,2,3,300,15,30,20,462,wo8qyx0k,D1S1a
8,do4mopds,613,8,15,15,20,2,3,300,15,30,20,462,wo8qyx0k,D1S1a
9,akw7mjn7,556,9,15,15,20,2,3,300,15,30,20,462,wo8qyx0k,D1S1a
1,23ayha3q,658,1,30,30,15,3,3,300,30,50,15,463,wo8qyx0k,D1S1a
2,5ysg83br,615,2,30,30,15,3,3,300,30,50,15,463,wo8qyx0k,D1S1a
3,iqfdtfap,678,3,30,30,15,3,3,300,30,50,15,463,wo8qyx0k,D1S1a
4,y9n9eqel,665,4,30,30,15,3,3,300,30,50,15,463,wo8qyx0k,D1S1a
5,55vtt2g8,636,5,30,30,15,3,3,300,30,50,15,463,wo8qyx0k,D1S1a
6,5njrdc92,696,6,30,30,15,3,3,300,30,50,15,463,wo8qyx0k,D1S1a
7,uwbwn9no,633,7,40,40,5,3,3,300,30,50,15,463,wo8qyx0k,D1S1a
8,do4mopds,613,8,30,30,15,3,3,300,30,50,15,463,wo8qyx0k,D1S1a
9,akw7mjn7,556,9,30,30,15,3,3,300,30,50,15,463,wo8qyx0k,D1S1a
1,23ayha3q,658,1,25,25,15,4,1,300,20,25,10,464,wo8qyx0k,D1S1a
2,5ysg83br,615,2,25,25,15,4,1,300,20,25,10,464,wo8qyx0k,D1S1a
3,iqfdtfap,678,3,25,25,15,4,1,300,20,25,10,464,wo8qyx0k,D1S1a
4,y9n9eqel,665,4,25,25,15,4,1,300,20,25,10,464,wo8qyx0k,D1S1a
5,55vtt2g8,636,5,25,25,15,4,1,300,20,25,10,464,wo8qyx0k,D1S1a
6,5njrdc92,696,6,25,25,15,4,1,300,20,25,10,464,wo8qyx0k,D1S1a
7,uwbwn9no,633,7,25,25,15,4,1,300,20,25,10,464,wo8qyx0k,D1S1a
8,do4mopds,613,8,25,25,15,4,1,300,20,25,10,464,wo8qyx0k,D1S1a
9,akw7mjn7,556,9,25,25,15,4,1,300,20,25,10,464,wo8qyx0k,D1S1a
1,23ayha3q,658,1,40,40,20,5,1,300,40,30,15,465,wo8qyx0k,D1S1a
2,5ysg83br,615,2,40,40,20,5,1,300,40,30,15,465,wo8qyx0k,D1S1a
3,iqfdtfap,678,3,40,40,20,5,1,300,40,30,15,465,wo8qyx0k,D1S1a
4,y9n9eqel,665,4,40,40,20,5,1,300,40,30,15,465,wo8qyx0k,D1S1a
5,55vtt2g8,636,5,40,40,20,5,1,300,40,30,15,465,wo8qyx0k,D1S1a
6,5njrdc92,696,6,40,40,20,5,1,300,40,30,15,465,wo8qyx0k,D1S1a
7,uwbwn9no,633,7,40,40,20,5,1,300,40,30,15,465,wo8qyx0k,D1S1a
8,do4mopds,613,8,40,40,20,5,1,300,40,30,15,465,wo8qyx0k,D1S1a
9,akw7mjn7,556,9,40,40,20,5,1,300,40,30,15,465,wo8qyx0k,D1S1a
1,23ayha3q,658,1,30,30,20,6,1,300,60,30,20,466,wo8qyx0k,D1S1a
2,5ysg83br,615,2,60,60,10,6,1,300,60,30,20,466,wo8qyx0k,D1S1a
3,iqfdtfap,678,3,60,60,10,6,1,300,60,30,20,466,wo8qyx0k,D1S1a
4,y9n9eqel,665,4,30,30,20,6,1,300,60,30,20,466,wo8qyx0k,D1S1a
5,55vtt2g8,636,5,60,60,10,6,1,300,60,30,20,466,wo8qyx0k,D1S1a
6,5njrdc92,696,6,60,60,10,6,1,300,60,30,20,466,wo8qyx0k,D1S1a
7,uwbwn9no,633,7,30,30,20,6,1,300,60,30,20,466,wo8qyx0k,D1S1a
8,do4mopds,613,8,60,60,10,6,1,300,60,30,20,466,wo8qyx0k,D1S1a
9,akw7mjn7,556,9,60,60,10,6,1,300,60,30,20,466,wo8qyx0k,D1S1a
1,23ayha3q,658,1,15,15,15,7,1,300,40,15,15,467,wo8qyx0k,D1S1a
2,5ysg83br,615,2,40,40,5,7,1,300,40,15,15,467,wo8qyx0k,D1S1a
3,iqfdtfap,678,3,40,40,5,7,1,300,40,15,15,467,wo8qyx0k,D1S1a
4,y9n9eqel,665,4,15,15,15,7,1,300,40,15,15,467,wo8qyx0k,D1S1a
5,55vtt2g8,636,5,40,40,5,7,1,300,40,15,15,467,wo8qyx0k,D1S1a
6,5njrdc92,696,6,40,40,5,7,1,300,40,15,15,467,wo8qyx0k,D1S1a
7,uwbwn9no,633,7,15,15,15,7,1,300,40,15,15,467,wo8qyx0k,D1S1a
8,do4mopds,613,8,40,40,5,7,1,300,40,15,15,467,wo8qyx0k,D1S1a
9,akw7mjn7,556,9,40,40,5,7,1,300,40,15,15,467,wo8qyx0k,D1S1a
1,23ayha3q,658,1,25,25,20,8,1,300,25,15,15,468,wo8qyx0k,D1S1a
2,5ysg83br,615,2,25,25,20,8,1,300,25,15,15,468,wo8qyx0k,D1S1a
3,iqfdtfap,678,3,25,25,20,8,1,300,25,15,15,468,wo8qyx0k,D1S1a
4,y9n9eqel,665,4,25,25,20,8,1,300,25,15,15,468,wo8qyx0k,D1S1a
5,55vtt2g8,636,5,25,25,20,8,1,300,25,15,15,468,wo8qyx0k,D1S1a
6,5njrdc92,696,6,25,25,20,8,1,300,25,15,15,468,wo8qyx0k,D1S1a
7,uwbwn9no,633,7,25,25,20,8,1,300,25,15,15,468,wo8qyx0k,D1S1a
8,do4mopds,613,8,25,25,20,8,1,300,25,15,15,468,wo8qyx0k,D1S1a
9,akw7mjn7,556,9,25,25,20,8,1,300,25,15,15,468,wo8qyx0k,D1S1a
1,23ayha3q,658,1,50,50,30,9,1,300,50,40,20,469,wo8qyx0k,D1S1a
2,5ysg83br,615,2,50,50,30,9,1,300,50,40,20,469,wo8qyx0k,D1S1a
3,iqfdtfap,678,3,50,50,30,9,1,300,50,40,20,469,wo8qyx0k,D1S1a
4,y9n9eqel,665,4,50,50,30,9,1,300,50,40,20,469,wo8qyx0k,D1S1a
5,55vtt2g8,636,5,50,50,30,9,1,300,50,40,20,469,wo8qyx0k,D1S1a
6,5njrdc92,696,6,50,50,30,9,1,300,50,40,20,469,wo8qyx0k,D1S1a
7,uwbwn9no,633,7,50,50,30,9,1,300,50,40,20,469,wo8qyx0k,D1S1a
8,do4mopds,613,8,50,50,30,9,1,300,50,40,20,469,wo8qyx0k,D1S1a
9,akw7mjn7,556,9,50,50,30,9,1,300,50,40,20,469,wo8qyx0k,D1S1a
1,23ayha3q,658,1,30,30,10,10,1,300,30,45,10,470,wo8qyx0k,D1S1a
2,5ysg83br,615,2,45,45,5,10,1,300,30,45,10,470,wo8qyx0k,D1S1a
3,iqfdtfap,678,3,30,30,10,10,1,300,30,45,10,470,wo8qyx0k,D1S1a
4,y9n9eqel,665,4,30,30,10,10,1,300,30,45,10,470,wo8qyx0k,D1S1a
5,55vtt2g8,636,5,45,45,5,10,1,300,30,45,10,470,wo8qyx0k,D1S1a
6,5njrdc92,696,6,45,45,5,10,1,300,30,45,10,470,wo8qyx0k,D1S1a
7,uwbwn9no,633,7,45,45,5,10,1,300,30,45,10,470,wo8qyx0k,D1S1a
8,do4mopds,613,8,30,30,10,10,1,300,30,45,10,470,wo8qyx0k,D1S1a
9,akw7mjn7,556,9,45,45,5,10,1,300,30,45,10,470,wo8qyx0k,D1S1a
1,23ayha3q,658,1,20,20,15,11,1,300,45,20,15,471,wo8qyx0k,D1S1a
2,5ysg83br,615,2,45,45,5,11,1,300,45,20,15,471,wo8qyx0k,D1S1a
3,iqfdtfap,678,3,20,20,15,11,1,300,45,20,15,471,wo8qyx0k,D1S1a
4,y9n9eqel,665,4,20,20,15,11,1,300,45,20,15,471,wo8qyx0k,D1S1a
5,55vtt2g8,636,5,45,45,5,11,1,300,45,20,15,471,wo8qyx0k,D1S1a
6,5njrdc92,696,6,45,45,5,11,1,300,45,20,15,471,wo8qyx0k,D1S1a
7,uwbwn9no,633,7,20,20,15,11,1,300,45,20,15,471,wo8qyx0k,D1S1a
8,do4mopds,613,8,20,20,15,11,1,300,45,20,15,471,wo8qyx0k,D1S1a
9,akw7mjn7,556,9,45,45,5,11,1,300,45,20,15,471,wo8qyx0k,D1S1a
1,23ayha3q,658,1,40,40,20,12,1,300,40,30,15,472,wo8qyx0k,D1S1a
2,5ysg83br,615,2,40,40,20,12,1,300,40,30,15,472,wo8qyx0k,D1S1a
3,iqfdtfap,678,3,40,40,20,12,1,300,40,30,15,472,wo8qyx0k,D1S1a
4,y9n9eqel,665,4,40,40,20,12,1,300,40,30,15,472,wo8qyx0k,D1S1a
5,55vtt2g8,636,5,40,40,20,12,1,300,40,30,15,472,wo8qyx0k,D1S1a
6,5njrdc92,696,6,40,40,20,12,1,300,40,30,15,472,wo8qyx0k,D1S1a
7,uwbwn9no,633,7,40,40,20,12,1,300,40,30,15,472,wo8qyx0k,D1S1a
8,do4mopds,613,8,40,40,20,12,1,300,40,30,15,472,wo8qyx0k,D1S1a
9,akw7mjn7,556,9,40,40,20,12,1,300,40,30,15,472,wo8qyx0k,D1S1a
1,23ayha3q,658,1,35,35,25,13,1,300,20,35,20,473,wo8qyx0k,D1S1a
