Session,matchId,roundId,groupId,clientId,Gender,Topic,Grade,Siblings,Month,Year,payoff,role,roleName,choice,choiceTime,equilibriumChoice,winningChoice
LILA-Burbank-S1,16,0,0,11,Male,Science / Technology,11FB,0,oct.,2001,40,2,Player 3,0,7094,1,1
LILA-Burbank-S1,4,0,1,0,Female,Science / Technology,11FB,1,oct.,2001,40,2,Player 3,1,5382,1,1
LILA-Burbank-S1,14,0,1,0,Female,Science / Technology,11FB,1,oct.,2001,40,0,Player 1,2,9506,1,1
LILA-Burbank-S1,18,0,1,0,Female,Science / Technology,11FB,1,oct.,2001,40,1,Player 2,0,6403,1,1
LILA-Burbank-S1,6,0,1,1,Female,Math,11FB,1,apr.,2002,40,2,Player 3,2,13251,1,1
LILA-Burbank-S1,16,0,1,1,Female,Math,11FB,1,apr.,2002,40,0,Player 1,0,7469,1,1
LILA-Burbank-S1,17,0,1,1,Female,Math,11FB,1,apr.,2002,40,1,Player 2,0,6813,1,1
LILA-Burbank-S1,19,0,1,1,Female,Math,11FB,1,apr.,2002,40,0,Player 1,1,15204,1,1
LILA-Burbank-S1,7,0,1,2,Male,Science / Technology,11FB,1,jul.,2001,40,1,Player 2,0,4948,1,1
LILA-Burbank-S1,8,0,1,2,Male,Science / Technology,11FB,1,jul.,2001,40,2,Player 3,2,5962,1,1
LILA-Burbank-S1,14,0,1,2,Male,Science / Technology,11FB,1,jul.,2001,40,2,Player 3,0,8549,1,1
LILA-Burbank-S1,19,0,1,2,Male,Science / Technology,11FB,1,jul.,2001,40,1,Player 2,2,9607,1,1
LILA-Burbank-S1,4,0,1,3,Male,Science / Technology,11FB,1,mar.,2001,40,1,Player 2,1,6188,1,1
LILA-Burbank-S1,9,0,1,3,Male,Science / Technology,11FB,1,mar.,2001,40,0,Player 1,1,8048,1,1
LILA-Burbank-S1,11,0,1,3,Male,Science / Technology,11FB,1,mar.,2001,40,2,Player 3,2,3317,1,1
LILA-Burbank-S1,17,0,1,3,Male,Science / Technology,11FB,1,mar.,2001,40,2,Player 3,2,4089,1,1
LILA-Burbank-S1,5,0,1,4,Female,French,11FB,1,aug.,2001,40,1,Player 2,2,11689,1,1
LILA-Burbank-S1,10,0,1,4,Female,French,11FB,1,aug.,2001,20,0,Player 1,1,10937,1,0
LILA-Burbank-S1,18,0,1,4,Female,French,11FB,1,aug.,2001,40,2,Player 3,0,3922,1,1
LILA-Burbank-S1,3,0,1,5,Female,English,11FB,0,feb.,2001,20,0,Player 1,1,7188,0,0
LILA-Burbank-S1,5,0,1,5,Female,English,11FB,0,feb.,2001,40,2,Player 3,0,4765,1,1
LILA-Burbank-S1,10,0,1,5,Female,English,11FB,0,feb.,2001,20,1,Player 2,0,7266,0,0
LILA-Burbank-S1,13,0,1,5,Female,English,11FB,0,feb.,2001,20,1,Player 2,0,3625,0,0
LILA-Burbank-S1,15,0,1,5,Female,English,11FB,0,feb.,2001,40,0,Player 1,0,8563,1,1
LILA-Burbank-S1,18,0,1,5,Female,English,11FB,0,feb.,2001,20,0,Player 1,2,6563,0,0
LILA-Burbank-S1,20,0,1,5,Female,English,11FB,0,feb.,2001,40,2,Player 3,2,4906,1,1
LILA-Burbank-S1,3,0,1,6,Male,English,11FB,2 or more,aug.,2001,40,1,Player 2,1,18501,1,1
LILA-Burbank-S1,7,0,1,6,Male,English,11FB,2 or more,aug.,2001,40,2,Player 3,0,16969,1,1
LILA-Burbank-S1,10,0,1,6,Male,English,11FB,2 or more,aug.,2001,40,2,Player 3,1,17485,1,1
LILA-Burbank-S1,15,0,1,6,Male,English,11FB,2 or more,aug.,2001,40,1,Player 2,0,17438,1,1
LILA-Burbank-S1,16,0,1,6,Male,English,11FB,2 or more,aug.,2001,40,2,Player 3,0,10563,1,1
LILA-Burbank-S1,17,0,1,6,Male,English,11FB,2 or more,aug.,2001,40,0,Player 1,2,9078,1,1
LILA-Burbank-S1,8,0,1,7,Female,English,11FB,0,jul.,2001,40,0,Player 1,2,16438,1,1
LILA-Burbank-S1,9,0,1,7,Female,English,11FB,0,jul.,2001,40,1,Player 2,0,10482,1,1
LILA-Burbank-S1,12,0,1,7,Female,English,11FB,0,jul.,2001,40,1,Player 2,1,6766,1,1
LILA-Burbank-S1,13,0,1,7,Female,English,11FB,0,jul.,2001,40,2,Player 3,1,8559,1,1
LILA-Burbank-S1,3,0,1,8,Male,Science / Technology,11FB,1,dec.,2001,40,2,Player 3,2,12313,1,1
LILA-Burbank-S1,7,0,1,8,Male,Science / Technology,11FB,1,dec.,2001,20,0,Player 1,2,21611,0,0
LILA-Burbank-S1,8,0,1,8,Male,Science / Technology,11FB,1,dec.,2001,40,1,Player 2,0,30958,1,1
LILA-Burbank-S1,11,0,1,8,Male,Science / Technology,11FB,1,dec.,2001,40,1,Player 2,0,35829,1,1
LILA-Burbank-S1,12,0,1,8,Male,Science / Technology,11FB,1,dec.,2001,40,2,Player 3,2,19923,1,1
