Session,matchId,roundId,groupId,clientId,Gender,Topic,Grade,Siblings,Month,Year,payoff,role,roleName,choice,choiceTime,equilibriumChoice,winningChoice
FROG-S1,7,0,0,0,Male,Math / Science,K,1,may.,2012,1,0,Player 1,1,6513,0,0
FROG-S1,7,0,0,11,Male,English,K,0,may.,2012,2,1,Player 2,1,44351,1,1
FROG-S1,7,0,1,1,Male,Math / Science,K,2 or more,oct.,2012,1,0,Player 1,1,16727,0,0
FROG-S1,7,0,1,6,Female,French,K,1,jul.,2012,2,1,Player 2,1,21364,1,1
FROG-S1,7,0,2,8,Female,Art / Music,K,1,sep.,2012,2,1,Player 2,1,13297,1,1
FROG-S1,7,0,2,10,Female,French,K,2 or more,aug.,2012,2,0,Player 1,2,29158,1,1
FROG-S1,7,0,3,2,Male,Math / Science,K,1,oct.,2012,1,0,Player 1,2,9689,1,0
FROG-S1,7,0,3,4,Male,French,K,2 or more,sep.,2012,1,1,Player 2,2,11220,0,0
FROG-S1,7,0,4,3,Male,English,K,1,jun.,2012,1,1,Player 2,0,16116,0,0
FROG-S1,7,0,4,5,Male,Math / Science,K,2 or more,feb.,2012,2,0,Player 1,1,12485,0,1
FROG-S1,7,0,5,7,Female,English,K,1,sep.,2012,1,0,Player 1,1,25016,0,0
FROG-S1,7,0,5,9,Female,French,K,1,feb.,2012,2,1,Player 2,1,33439,1,1
FROG-S1,8,0,0,6,Female,French,K,1,jul.,2012,1,0,Player 1,0,9757,0,0
FROG-S1,8,0,0,10,Female,French,K,2 or more,aug.,2012,2,1,Player 2,0,33955,1,1
FROG-S1,8,0,1,7,Female,English,K,1,sep.,2012,1,1,Player 2,1,28157,0,0
FROG-S1,8,0,1,8,Female,Art / Music,K,1,sep.,2012,2,0,Player 1,0,15001,0,1
FROG-S1,8,0,2,2,Male,Math / Science,K,1,oct.,2012,2,1,Player 2,0,10782,1,1
FROG-S1,8,0,2,11,Male,English,K,0,may.,2012,1,0,Player 1,0,42970,0,0
FROG-S1,8,0,3,0,Male,Math / Science,K,1,may.,2012,1,1,Player 2,1,8167,0,0
FROG-S1,8,0,3,4,Male,French,K,2 or more,sep.,2012,2,0,Player 1,0,51365,0,1
FROG-S1,8,0,4,5,Male,Math / Science,K,2 or more,feb.,2012,1,1,Player 2,1,38080,0,0
FROG-S1,8,0,4,9,Female,French,K,1,feb.,2012,1,0,Player 1,1,14423,1,0
FROG-S1,8,0,5,1,Male,Math / Science,K,2 or more,oct.,2012,1,1,Player 2,1,13336,0,0
FROG-S1,8,0,5,3,Male,English,K,1,jun.,2012,1,0,Player 1,1,18752,1,0
FROG-S1,9,0,0,2,Male,Math / Science,K,1,oct.,2012,1,0,Player 1,1,10563,0,0
FROG-S1,9,0,0,3,Male,English,K,1,jun.,2012,2,1,Player 2,0,12361,1,1
FROG-S1,9,0,1,8,Female,Art / Music,K,1,sep.,2012,2,1,Player 2,0,28767,1,1
FROG-S1,9,0,1,10,Female,French,K,2 or more,aug.,2012,1,0,Player 1,1,17064,0,0
FROG-S1,9,0,2,7,Female,English,K,1,sep.,2012,1,0,Player 1,2,17579,0,0
FROG-S1,9,0,2,11,Male,English,K,0,may.,2012,2,1,Player 2,0,24317,1,1
FROG-S1,9,0,3,0,Male,Math / Science,K,1,may.,2012,2,0,Player 1,2,26585,0,1
FROG-S1,9,0,3,9,Female,French,K,1,feb.,2012,1,1,Player 2,2,15907,0,0
FROG-S1,9,0,4,1,Male,Math / Science,K,2 or more,oct.,2012,1,0,Player 1,2,12673,0,0
FROG-S1,9,0,4,4,Male,French,K,2 or more,sep.,2012,2,1,Player 2,0,16657,1,1
FROG-S1,9,0,5,5,Male,Math / Science,K,2 or more,feb.,2012,1,0,Player 1,2,15579,0,0
FROG-S1,9,0,5,6,Female,French,K,1,jul.,2012,2,1,Player 2,0,7966,1,1
FROG-S2,2,0,0,2,Male,Art / Music,1,0,apr.,2011,2,1,Player 2,1,45520,1,1
FROG-S2,2,0,0,5,Female,English,1,1,feb.,2011,2,0,Player 1,2,46024,1,1
FROG-S2,2,0,1,1,Female,English,1,1,dec.,2011,1,0,Player 1,0,60773,0,0
FROG-S2,2,0,1,10,Male,Math / Science,1,1,nov.,2011,2,1,Player 2,1,46362,1,1
FROG-S2,2,0,2,4,Female,Art / Music,1,1,jul.,2011,2,0,Player 1,0,52333,0,1
FROG-S2,2,0,2,11,Male,English,1,2 or more,jun.,2011,1,1,Player 2,0,46596,0,0
FROG-S2,2,0,3,0,Male,Art / Music,1,1,apr.,2011,2,1,Player 2,1,115676,1,1
FROG-S2,2,0,3,7,Male,French,1,0,feb.,2011,2,0,Player 1,2,30328,1,1
FROG-S2,2,0,4,6,Male,English,1,1,apr.,2011,1,0,Player 1,1,82737,0,0
FROG-S2,2,0,4,8,Female,Art / Music,1,0,jan.,2011,2,1,Player 2,1,65862,1,1
FROG-S2,2,0,5,3,Male,Math / Science,1,1,jun.,2011,2,1,Player 2,1,37629,1,1
FROG-S2,2,0,5,9,Female,English,1,1,aug.,2011,2,0,Player 1,2,48558,1,1
FROG-S2,3,0,0,7,Male,French,1,0,feb.,2011,2,1,Player 2,2,25024,1,1
FROG-S2,3,0,0,10,Male,Math / Science,1,1,nov.,2011,1,0,Player 1,2,26876,0,0
FROG-S2,3,0,1,0,Male,Art / Music,1,1,apr.,2011,1,0,Player 1,2,68753,0,0
FROG-S2,3,0,1,1,Female,English,1,1,dec.,2011,1,1,Player 2,1,58194,0,0
FROG-S2,3,0,2,5,Female,English,1,1,feb.,2011,1,1,Player 2,1,21313,0,0
