"","Session","Order","Game","matchId","roundId","groupId","clientId","Gender","Grade","Siblings","role","decision","payoff","Age","Track3"
"62","D1S1","BOS-HD","BOS2",3,7,4,4,"M",6,NA,"green","green",4,137,"At risk"
"63","D1S1","BOS-HD","BOS2",3,8,4,4,"M",6,NA,"green","red",2,137,"At risk"
"64","D1S1","BOS-HD","BOS2",3,9,4,4,"M",6,NA,"green","green",4,137,"At risk"
"65","D1S1","BOS-HD","BOS2",3,10,4,4,"M",6,NA,"green","red",2,137,"At risk"
"66","D1S1","BOS-HD","BOS2",3,11,4,4,"M",6,NA,"green","green",4,137,"At risk"
"67","D1S1","BOS-HD","BOS2",3,12,4,4,"M",6,NA,"green","red",2,137,"At risk"
"68","D1S1","BOS-HD","BOS2",3,13,4,4,"M",6,NA,"green","green",4,137,"At risk"
"69","D1S1","BOS-HD","BOS2",3,14,4,4,"M",6,NA,"green","red",2,137,"At risk"
"70","D1S1","BOS-HD","BOS2",3,15,4,4,"M",6,NA,"green","green",4,137,"At risk"
"71","D1S1","BOS-HD","BOS2",3,16,4,4,"M",6,NA,"green","red",2,137,"At risk"
"72","D1S1","BOS-HD","BOS2",3,17,4,4,"M",6,NA,"green","green",4,137,"At risk"
"73","D1S1","BOS-HD","BOS1",2,0,5,5,"F",6,NA,"red","red",6,136,"At risk"
"74","D1S1","BOS-HD","BOS1",2,1,5,5,"F",6,NA,"red","red",1,136,"At risk"
"75","D1S1","BOS-HD","BOS1",2,2,5,5,"F",6,NA,"red","red",6,136,"At risk"
"76","D1S1","BOS-HD","BOS1",2,3,5,5,"F",6,NA,"red","red",6,136,"At risk"
"77","D1S1","BOS-HD","BOS1",2,4,5,5,"F",6,NA,"red","red",1,136,"At risk"
"78","D1S1","BOS-HD","BOS1",2,5,5,5,"F",6,NA,"red","red",1,136,"At risk"
"79","D1S1","BOS-HD","BOS1",2,6,5,5,"F",6,NA,"red","red",1,136,"At risk"
"80","D1S1","BOS-HD","BOS1",2,7,5,5,"F",6,NA,"red","red",6,136,"At risk"
"81","D1S1","BOS-HD","BOS1",2,8,5,5,"F",6,NA,"red","red",6,136,"At risk"
"82","D1S1","BOS-HD","BOS1",2,9,5,5,"F",6,NA,"red","red",6,136,"At risk"
"83","D1S1","BOS-HD","BOS1",2,10,5,5,"F",6,NA,"red","red",6,136,"At risk"
"84","D1S1","BOS-HD","BOS1",2,11,5,5,"F",6,NA,"red","red",6,136,"At risk"
"85","D1S1","BOS-HD","BOS1",2,12,5,5,"F",6,NA,"red","red",6,136,"At risk"
"86","D1S1","BOS-HD","BOS1",2,13,5,5,"F",6,NA,"red","red",6,136,"At risk"
"87","D1S1","BOS-HD","BOS1",2,14,5,5,"F",6,NA,"red","red",6,136,"At risk"
"88","D1S1","BOS-HD","BOS1",2,15,5,5,"F",6,NA,"red","red",1,136,"At risk"
"89","D1S1","BOS-HD","BOS1",2,16,5,5,"F",6,NA,"red","red",1,136,"At risk"
"90","D1S1","BOS-HD","BOS1",2,17,5,5,"F",6,NA,"red","red",1,136,"At risk"
"91","D1S1","BOS-HD","BOS2",3,0,5,5,"F",6,NA,"green","green",1,136,"At risk"
"92","D1S1","BOS-HD","BOS2",3,1,5,5,"F",6,NA,"green","green",1,136,"At risk"
"93","D1S1","BOS-HD","BOS2",3,2,5,5,"F",6,NA,"green","green",1,136,"At risk"
"94","D1S1","BOS-HD","BOS2",3,3,5,5,"F",6,NA,"green","green",4,136,"At risk"
"95","D1S1","BOS-HD","BOS2",3,4,5,5,"F",6,NA,"green","green",1,136,"At risk"
"96","D1S1","BOS-HD","BOS2",3,5,5,5,"F",6,NA,"green","green",1,136,"At risk"
"97","D1S1","BOS-HD","BOS2",3,6,5,5,"F",6,NA,"green","green",1,136,"At risk"
"98","D1S1","BOS-HD","BOS2",3,7,5,5,"F",6,NA,"green","green",1,136,"At risk"
"99","D1S1","BOS-HD","BOS2",3,8,5,5,"F",6,NA,"green","green",1,136,"At risk"
"100","D1S1","BOS-HD","BOS2",3,9,5,5,"F",6,NA,"green","green",1,136,"At risk"
"101","D1S1","BOS-HD","BOS2",3,10,5,5,"F",6,NA,"green","green",1,136,"At risk"
