Location,SessionId,matchId,GroupId,ClientId,Grade,Gender,Number Older Siblings,Number Younger Siblings,Payoff,PlayerName,paidRow,paidCol,startingRow,startingColumn,click.0.finalRow,click.0.finalCol,click.1.finalRow,click.1.finalCol,click.2.finalRow,click.2.finalCol,click.3.finalRow,click.3.finalCol,click.4.finalRow,click.4.finalCol,click.5.finalRow,click.5.finalCol,click.6.finalRow,click.6.finalCol,click.7.finalRow,click.7.finalCol
Burbank,D7S2,0,0,4,8,Female,n/a,n/a,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S2,0,0,1,8,Male,n/a,n/a,26, TREE leader,7,4,5,5,6,5,6,4,7,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S2,0,1,2,8,Female,n/a,n/a,26, VOLCANO leader,7,0,3,3,3,2,7,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S2,0,1,0,8,Female,n/a,n/a,26, TREE leader,7,0,5,5,5,5,6,4,6,3,6,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S2,0,2,6,8,Female,n/a,n/a,32, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S2,0,2,9,8,Male,n/a,n/a,20, TREE leader,2,2,5,5,2,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S2,0,3,3,8,Male,n/a,n/a,32, VOLCANO leader,7,0,3,3,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S2,0,3,5,8,Female,n/a,n/a,20, TREE leader,5,2,5,5,6,1,4,2,4,2,4,3,4,2,4,3,4,3,5,2
Burbank,D7S2,0,4,7,8,Female,n/a,n/a,32, VOLCANO leader,4,0,3,3,3,3,5,0,4,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S2,0,4,10,8,Male,n/a,n/a,20, TREE leader,3,2,5,5,3,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S2,0,5,8,8,Male,n/a,n/a,26, VOLCANO leader,5,1,3,3,5,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S2,0,5,11,8,Male,n/a,n/a,26, TREE leader,5,5,5,5,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S2,1,0,6,8,Female,n/a,n/a,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S2,1,0,9,8,Male,n/a,n/a,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S2,1,1,8,8,Male,n/a,n/a,32, VOLCANO leader,5,0,3,3,5,0,7,0,5,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S2,1,1,10,8,Male,n/a,n/a,20, TREE leader,2,0,5,5,2,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S2,1,2,4,8,Female,n/a,n/a,26, VOLCANO leader,7,0,3,3,3,3,6,1,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S2,1,2,5,8,Female,n/a,n/a,26, TREE leader,7,0,5,5,4,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S2,1,3,3,8,Male,n/a,n/a,32, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S2,1,3,11,8,Male,n/a,n/a,20, TREE leader,3,0,5,5,4,2,3,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S2,1,4,7,8,Female,n/a,n/a,26, VOLCANO leader,7,0,3,3,4,0,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S2,1,4,1,8,Male,n/a,n/a,26, TREE leader,7,0,5,5,5,1,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S2,1,5,2,8,Female,n/a,n/a,20, VOLCANO leader,7,7,3,3,7,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S2,1,5,0,8,Female,n/a,n/a,32, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
