Location,SessionId,matchId,GroupId,ClientId,Grade,Gender,Number Older Siblings,Number Younger Siblings,Payoff,PlayerName,paidRow,paidCol,startingRow,startingColumn,click.0.finalRow,click.0.finalCol,click.1.finalRow,click.1.finalCol,click.2.finalRow,click.2.finalCol,click.3.finalRow,click.3.finalCol,click.4.finalRow,click.4.finalCol
LF,D4S1,0,0,0,3,Female,3+,0,32, VOLCANO leader,7,0,3,3,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A
LF,D4S1,0,0,5,3,Female,0,2,20, TREE leader,6,1,5,5,6,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D4S1,0,1,4,3,Female,2,0,32, TREE leader,7,0,5,5,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A
LF,D4S1,0,1,10,3,Male,0,1,20, VOLCANO leader,7,4,3,3,5,5,4,3,3,1,7,4,N/A,N/A
LF,D4S1,0,2,6,3,Female,1,1,20, VOLCANO leader,6,1,3,3,6,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D4S1,0,2,8,3,Male,2,1,32, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D4S1,0,3,2,3,Female,0,1,32, VOLCANO leader,6,0,3,3,6,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D4S1,0,3,9,3,Female,1,0,20, TREE leader,2,2,5,5,2,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D4S1,0,4,1,3,Male,0,1,32, TREE leader,7,0,5,5,5,4,7,0,N/A,N/A,N/A,N/A,N/A,N/A
LF,D4S1,0,4,11,3,Female,0,1,20, VOLCANO leader,7,5,3,3,4,4,7,5,N/A,N/A,N/A,N/A,N/A,N/A
LF,D4S1,0,5,3,3,Male,2,0,32, TREE leader,6,1,5,5,6,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D4S1,0,5,7,3,Female,0,3+,20, VOLCANO leader,3,3,3,3,3,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D4S1,1,0,4,3,Female,2,0,32, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D4S1,1,0,7,3,Female,0,3+,20, VOLCANO leader,3,6,3,3,4,3,5,6,5,5,4,4,3,6
LF,D4S1,1,1,5,3,Female,0,2,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D4S1,1,1,10,3,Male,0,1,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D4S1,1,2,9,3,Female,1,0,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D4S1,1,2,11,3,Female,0,1,26, VOLCANO leader,6,0,3,3,6,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D4S1,1,3,0,3,Female,3+,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D4S1,1,3,8,3,Male,2,1,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D4S1,1,4,3,3,Male,2,0,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D4S1,1,4,6,3,Female,1,1,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D4S1,1,5,1,3,Male,0,1,26, TREE leader,7,0,5,5,5,5,7,0,7,0,N/A,N/A,N/A,N/A
LF,D4S1,1,5,2,3,Female,0,1,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
