Location,SessionId,matchId,GroupId,ClientId,Grade,Gender,Number Older Siblings,Number Younger Siblings,Payoff,PlayerName,paidRow,paidCol,startingRow,startingColumn,click.0.finalRow,click.0.finalCol,click.1.finalRow,click.1.finalCol,click.2.finalRow,click.2.finalCol,click.3.finalRow,click.3.finalCol
Burbank,D8S1,0,0,1,7,Male,0,2,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S1,0,0,11,7,Male,0,1,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S1,0,1,7,7,Female,1,0,20, TREE leader,5,3,5,5,4,4,5,3,N/A,N/A,N/A,N/A
Burbank,D8S1,0,1,9,7,Male,0,0,32, VOLCANO leader,6,2,3,3,6,3,6,2,N/A,N/A,N/A,N/A
Burbank,D8S1,0,2,6,7,Male,1,1,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S1,0,2,10,8,Male,0,1,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S1,0,3,2,7,Male,1,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S1,0,3,3,8,Female,1,0,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S1,0,4,5,7,Female,0,1,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S1,0,4,8,7,Male,1,0,26, VOLCANO leader,7,0,3,3,1,2,2,2,4,2,7,0
Burbank,D8S1,0,5,0,7,Male,1,0,20, TREE leader,6,2,5,5,5,3,5,1,6,2,N/A,N/A
Burbank,D8S1,0,5,4,8,Female,0,0,32, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S1,1,0,4,8,Female,0,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S1,1,0,5,7,Female,0,1,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S1,1,1,1,7,Male,0,2,20, TREE leader,5,2,5,5,5,2,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S1,1,1,10,8,Male,0,1,32, VOLCANO leader,7,0,3,3,4,2,7,0,N/A,N/A,N/A,N/A
Burbank,D8S1,1,2,2,7,Male,1,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S1,1,2,6,7,Male,1,1,26, TREE leader,7,1,5,5,4,3,7,1,N/A,N/A,N/A,N/A
Burbank,D8S1,1,3,7,7,Female,1,0,32, TREE leader,6,1,5,5,6,1,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S1,1,3,9,7,Male,0,0,20, VOLCANO leader,6,2,3,3,6,2,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S1,1,4,0,7,Male,1,0,20, TREE leader,5,0,5,5,5,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S1,1,4,8,7,Male,1,0,32, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S1,1,5,3,8,Female,1,0,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S1,1,5,11,7,Male,0,1,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A
