Location,SessionId,matchId,GroupId,ClientId,Grade,Gender,Number Older Siblings,Number Younger Siblings,Payoff,PlayerName,paidRow,paidCol,startingRow,startingColumn,click.0.finalRow,click.0.finalCol,click.1.finalRow,click.1.finalCol,click.2.finalRow,click.2.finalCol,click.3.finalRow,click.3.finalCol,click.4.finalRow,click.4.finalCol,click.5.finalRow,click.5.finalCol
Burbank,D7S3,0,0,2,10,Male,1,1,20, VOLCANO leader,5,5,3,3,3,2,3,3,3,4,3,5,4,5,5,5
Burbank,D7S3,0,0,8,10,Female,0,2,32, TREE leader,7,0,5,5,2,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S3,0,1,11,10,Female,2,0,20, VOLCANO leader,6,2,3,3,3,5,5,5,6,5,6,5,6,3,6,2
Burbank,D7S3,0,1,0,10,Male,1,0,32, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S3,0,2,4,10,Male,2,0,20, VOLCANO leader,3,3,3,3,3,3,3,3,3,3,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S3,0,2,5,10,Male,1,0,32, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S3,0,3,7,10,Female,1,0,26, VOLCANO leader,7,0,3,3,3,5,6,1,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S3,0,3,9,10,Female,0,0,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S3,0,4,6,10,Male,1,1,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S3,0,4,3,10,Male,1,0,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S3,0,5,1,10,Male,0,1,32, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S3,0,5,10,10,Female,0,2,20, TREE leader,6,1,5,5,5,4,5,3,5,1,6,1,N/A,N/A,N/A,N/A
Burbank,D7S3,1,0,2,10,Male,1,1,26, VOLCANO leader,7,0,3,3,6,3,6,1,6,0,7,0,N/A,N/A,N/A,N/A
Burbank,D7S3,1,0,3,10,Male,1,0,26, TREE leader,7,0,5,5,6,1,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S3,1,1,11,10,Female,2,0,26, VOLCANO leader,7,0,3,3,5,2,5,1,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S3,1,1,10,10,Female,0,2,26, TREE leader,7,0,5,5,7,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S3,1,2,6,10,Male,1,1,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S3,1,2,0,10,Male,1,0,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S3,1,3,7,10,Female,1,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S3,1,3,8,10,Female,0,2,26, TREE leader,7,0,5,5,7,4,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S3,1,4,1,10,Male,0,1,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S3,1,4,5,10,Male,1,0,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S3,1,5,4,10,Male,2,0,20, VOLCANO leader,7,4,3,3,7,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D7S3,1,5,9,10,Female,0,0,32, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
