Location,SessionId,matchId,GroupId,ClientId,Grade,Gender,Number Older Siblings,Number Younger Siblings,Payoff,PlayerName,paidRow,paidCol,startingRow,startingColumn,click.0.finalRow,click.0.finalCol,click.1.finalRow,click.1.finalCol,click.2.finalRow,click.2.finalCol,click.3.finalRow,click.3.finalCol,click.4.finalRow,click.4.finalCol
Burbank,D8S2,0,0,1,7,Female,3+,0,20, TREE leader,5,2,5,5,6,3,5,3,5,2,N/A,N/A,N/A,N/A
Burbank,D8S2,0,0,7,8,Female,1,0,32, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S2,0,1,0,7,Female,0,0,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S2,0,1,9,7,Male,0,1,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S2,0,2,2,7,Male,1,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S2,0,2,5,7,Female,1,0,26, TREE leader,7,0,5,5,7,0,6,1,7,0,N/A,N/A,N/A,N/A
Burbank,D8S2,0,3,4,7,Male,0,0,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S2,0,3,6,7,Female,0,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S2,0,4,3,7,Male,0,1,20, TREE leader,5,5,5,5,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S2,0,4,11,7,Male,0,1,32, VOLCANO leader,7,0,3,3,4,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S2,0,5,8,7,Male,0,0,26, TREE leader,7,0,5,5,7,1,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S2,0,5,10,7,Female,0,2,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S2,1,0,2,7,Male,1,0,26, VOLCANO leader,7,0,3,3,3,3,4,3,7,0,N/A,N/A,N/A,N/A
Burbank,D8S2,1,0,5,7,Female,1,0,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S2,1,1,4,7,Male,0,0,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S2,1,1,6,7,Female,0,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S2,1,2,0,7,Female,0,0,26, TREE leader,7,0,5,5,5,3,5,3,7,1,7,0,N/A,N/A
Burbank,D8S2,1,2,11,7,Male,0,1,26, VOLCANO leader,7,0,3,3,7,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S2,1,3,3,7,Male,0,1,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S2,1,3,7,8,Female,1,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S2,1,4,1,7,Female,3+,0,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S2,1,4,9,7,Male,0,1,26, VOLCANO leader,7,0,3,3,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D8S2,1,5,8,7,Male,0,0,20, TREE leader,1,1,5,5,1,1,1,1,2,4,2,1,1,1
Burbank,D8S2,1,5,10,7,Female,0,2,32, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
