Location,SessionId,matchId,GroupId,ClientId,Grade,Gender,Number Older Siblings,Number Younger Siblings,Payoff,PlayerName,paidRow,paidCol,startingRow,startingColumn,click.0.finalRow,click.0.finalCol,click.1.finalRow,click.1.finalCol,click.2.finalRow,click.2.finalCol,click.3.finalRow,click.3.finalCol,click.4.finalRow,click.4.finalCol,click.5.finalRow,click.5.finalCol,click.6.finalRow,click.6.finalCol,click.7.finalRow,click.7.finalCol,click.8.finalRow,click.8.finalCol,click.9.finalRow,click.9.finalCol,click.10.finalRow,click.10.finalCol,click.11.finalRow,click.11.finalCol
LF,D6S2,0,0,1,K,Female,0,0,26, TREE leader,4,3,5,5,6,6,6,6,6,6,3,6,3,6,3,1,4,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D6S2,0,0,5,K,Male,2,0,26, VOLCANO leader,5,4,3,3,5,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D6S2,0,1,3,K,Male,3+,0,26, TREE leader,6,1,5,5,3,5,6,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D6S2,0,1,4,K,Male,0,0,26, VOLCANO leader,6,0,3,3,4,4,3,3,3,3,6,3,7,2,6,2,6,0,6,0,6,0,6,0,6,0,6,0
LF,D6S2,0,2,0,K,Female,0,1,32, TREE leader,4,0,5,5,4,4,4,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D6S2,0,2,2,K,Female,0,0,20, VOLCANO leader,3,4,3,3,3,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D6S2,0,3,6,K,Female,2,1,20, TREE leader,4,1,5,5,4,5,4,2,4,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D6S2,0,3,8,K,Male,1,0,32, VOLCANO leader,7,0,3,3,4,5,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D6S2,0,4,7,K,Female,0,0,20, TREE leader,3,0,5,5,4,4,3,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D6S2,0,4,9,K,Male,0,1,32, VOLCANO leader,5,0,3,3,3,5,5,6,5,6,5,4,5,2,5,1,5,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D6S2,1,0,0,K,Female,0,1,26, TREE leader,4,0,5,5,4,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D6S2,1,0,5,K,Male,2,0,26, VOLCANO leader,5,3,3,3,5,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D6S2,1,1,2,K,Female,0,0,20, VOLCANO leader,7,3,3,3,6,3,7,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D6S2,1,1,3,K,Male,3+,0,32, TREE leader,7,0,5,5,5,6,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D6S2,1,2,7,K,Female,0,0,20, TREE leader,5,2,5,5,5,3,5,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D6S2,1,2,9,K,Male,0,1,32, VOLCANO leader,7,0,3,3,7,1,7,1,5,1,3,2,7,0,1,0,3,2,3,2,3,2,6,0,7,0,N/A,N/A
LF,D6S2,1,3,1,K,Female,0,0,26, TREE leader,5,3,5,5,4,4,4,3,5,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D6S2,1,3,4,K,Male,0,0,26, VOLCANO leader,1,0,3,3,2,3,1,1,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D6S2,1,4,6,K,Female,2,1,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D6S2,1,4,8,K,Male,1,0,26, VOLCANO leader,7,0,3,3,5,1,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
