Location,SessionId,matchId,GroupId,ClientId,Grade,Gender,Number Older Siblings,Number Younger Siblings,Payoff,PlayerName,paidRow,paidCol,startingRow,startingColumn,click.0.finalRow,click.0.finalCol,click.1.finalRow,click.1.finalCol,click.2.finalRow,click.2.finalCol,click.3.finalRow,click.3.finalCol
LF,D3S1,0,0,7,4,Female,0,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S1,0,0,9,5,Male,1,0,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S1,0,1,0,4,Male,0,1,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S1,0,1,1,4,Female,0,0,26, TREE leader,7,0,5,5,7,3,7,1,7,0,N/A,N/A
LF,D3S1,0,2,10,5,Male,2,0,20, VOLCANO leader,3,7,3,3,3,7,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S1,0,2,11,4,Male,1,0,32, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S1,0,3,3,5,Male,0,0,20, VOLCANO leader,6,3,3,3,6,3,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S1,0,3,6,5,Male,1,0,32, TREE leader,6,1,5,5,6,1,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S1,0,4,2,5,Male,1,0,20, VOLCANO leader,6,1,3,3,3,3,6,1,N/A,N/A,N/A,N/A
LF,D3S1,0,4,8,5,Female,0,1,32, TREE leader,7,0,5,5,6,1,7,0,N/A,N/A,N/A,N/A
LF,D3S1,0,5,4,4,Female,1,0,26, VOLCANO leader,7,0,3,3,3,3,3,3,7,0,N/A,N/A
LF,D3S1,0,5,5,5,Male,0,1,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S1,1,0,1,4,Female,0,0,26, TREE leader,7,0,5,5,7,5,7,5,7,2,7,0
LF,D3S1,1,0,2,5,Male,1,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S1,1,1,4,4,Female,1,0,26, VOLCANO leader,7,0,3,3,4,3,4,3,7,0,N/A,N/A
LF,D3S1,1,1,5,5,Male,0,1,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S1,1,2,0,4,Male,0,1,32, VOLCANO leader,7,0,3,3,3,3,4,1,7,0,N/A,N/A
LF,D3S1,1,2,6,5,Male,1,0,20, TREE leader,6,1,5,5,6,1,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S1,1,3,7,4,Female,0,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S1,1,3,9,5,Male,1,0,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S1,1,4,8,5,Female,0,1,32, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S1,1,4,10,5,Male,2,0,20, VOLCANO leader,7,7,3,3,7,7,N/A,N/A,N/A,N/A,N/A,N/A
LF,D3S1,1,5,3,5,Male,0,0,26, VOLCANO leader,7,0,3,3,5,2,7,0,N/A,N/A,N/A,N/A
LF,D3S1,1,5,11,4,Male,1,0,26, TREE leader,7,0,5,5,6,3,7,0,N/A,N/A,N/A,N/A
