Location,SessionId,matchId,GroupId,ClientId,Grade,Gender,Number Older Siblings,Number Younger Siblings,Payoff,PlayerName,paidRow,paidCol,startingRow,startingColumn,click.0.finalRow,click.0.finalCol,click.1.finalRow,click.1.finalCol,click.2.finalRow,click.2.finalCol,click.3.finalRow,click.3.finalCol,click.4.finalRow,click.4.finalCol,click.5.finalRow,click.5.finalCol,click.6.finalRow,click.6.finalCol,click.7.finalRow,click.7.finalCol
Burbank,D9S3,0,0,2,7,Male,2,0,26, VOLCANO leader,7,0,3,3,5,2,7,0,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S3,0,0,10,7,Male,0,1,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S3,0,1,1,7,Female,0,0,20, VOLCANO leader,7,3,3,3,7,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S3,0,1,11,6,Male,2,0,32, TREE leader,7,0,5,5,5,5,6,4,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S3,0,2,0,7,Female,3+,0,26, TREE leader,7,7,5,5,7,5,6,5,7,5,7,7,6,4,6,4,6,7,7,7
Burbank,D9S3,0,2,5,7,Female,0,0,26, VOLCANO leader,6,1,3,3,6,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S3,0,3,6,7,Male,1,1,20, TREE leader,6,1,5,5,5,5,6,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S3,0,3,8,7,Male,1,0,32, VOLCANO leader,7,1,3,3,3,3,3,3,5,3,7,3,6,3,6,0,7,1,7,1
Burbank,D9S3,0,4,3,7,Male,0,0,20, TREE leader,5,5,5,5,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S3,0,4,7,7,Female,1,0,32, VOLCANO leader,6,1,3,3,6,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S3,0,5,4,7,Male,1,1,32, VOLCANO leader,7,0,3,3,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S3,0,5,9,7,Female,0,1,20, TREE leader,2,3,5,5,2,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S3,1,0,5,7,Female,0,0,20, VOLCANO leader,7,1,3,3,7,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S3,1,0,6,7,Male,1,1,32, TREE leader,7,0,5,5,7,1,6,0,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S3,1,1,3,7,Male,0,0,32, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S3,1,1,8,7,Male,1,0,20, VOLCANO leader,7,1,3,3,7,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S3,1,2,0,7,Female,3+,0,26, TREE leader,7,0,5,5,7,6,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S3,1,2,7,7,Female,1,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S3,1,3,1,7,Female,0,0,20, VOLCANO leader,5,7,3,3,5,4,5,5,5,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S3,1,3,10,7,Male,0,1,32, TREE leader,7,0,5,5,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S3,1,4,4,7,Male,1,1,32, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S3,1,4,9,7,Female,0,1,20, TREE leader,6,1,5,5,6,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S3,1,5,2,7,Male,2,0,26, VOLCANO leader,7,0,3,3,3,3,6,1,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Burbank,D9S3,1,5,11,6,Male,2,0,26, TREE leader,7,0,5,5,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
