Location,SessionId,matchId,GroupId,ClientId,Grade,Gender,Number Older Siblings,Number Younger Siblings,Payoff,PlayerName,paidRow,paidCol,startingRow,startingColumn,click.0.finalRow,click.0.finalCol,click.1.finalRow,click.1.finalCol,click.2.finalRow,click.2.finalCol,click.3.finalRow,click.3.finalCol,click.4.finalRow,click.4.finalCol,click.5.finalRow,click.5.finalCol
LF,D5S2,0,0,3,4,Female,1,1,20, VOLCANO leader,4,3,3,3,4,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S2,0,0,5,4,Female,3+,3+,32, TREE leader,7,0,5,5,5,2,5,0,5,0,3,0,7,0,7,0
LF,D5S2,0,1,7,2,Male,1,0,26, TREE leader,4,2,5,5,4,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S2,0,1,8,4,Male,1,0,26, VOLCANO leader,6,4,3,3,5,2,5,2,6,4,6,4,6,4,N/A,N/A
LF,D5S2,0,2,0,4,Female,0,1,32, VOLCANO leader,7,0,3,3,5,2,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S2,0,2,4,4,Male,0,0,20, TREE leader,3,0,5,5,3,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S2,0,3,1,4,Male,1,0,26, VOLCANO leader,4,0,3,3,6,5,4,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S2,0,3,6,4,Male,0,2,26, TREE leader,7,0,5,5,3,1,3,0,5,0,7,0,N/A,N/A,N/A,N/A
LF,D5S2,0,4,2,4,Male,2,0,26, VOLCANO leader,7,1,3,3,3,0,7,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S2,0,4,9,4,Female,1,0,26, TREE leader,7,1,5,5,6,3,6,1,7,1,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S2,1,0,0,4,Female,0,1,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S2,1,0,9,4,Female,1,0,26, TREE leader,7,0,5,5,5,5,6,1,7,0,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S2,1,1,1,4,Male,1,0,32, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S2,1,1,6,4,Male,0,2,20, TREE leader,3,0,5,5,3,1,3,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S2,1,2,3,4,Female,1,1,32, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S2,1,2,7,2,Male,1,0,20, TREE leader,6,1,5,5,6,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S2,1,3,2,4,Male,2,0,26, VOLCANO leader,7,3,3,3,7,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S2,1,3,4,4,Male,0,0,26, TREE leader,3,0,5,5,3,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S2,1,4,5,4,Female,3+,3+,26, TREE leader,7,0,5,5,5,0,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LF,D5S2,1,4,8,4,Male,1,0,26, VOLCANO leader,7,0,3,3,7,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
